CEO,Company Name,Ticker,start_date,end_date
Patricia A Woertz,Archer Daniels Midland Company (ADM),ADM,5/1/06,12/31/14
Patricia Russo,Lucent,ALU,12/1/06,8/1/08
Katherine Krill,AnnTaylor Stores Corporation,ANN,10/1/05,12/31/14
Angela Braly,WellPoint,ANTM,6/1/07,8/1/12
Judy McReynolds,Arkansas Best Corp.,ARCB,1/2/10,12/31/14
Andrea Jung,Avon Product,AVP,11/4/99,4/22/12
Sheri McCoy,Avon Product,AVP,4/23/12,12/31/14
Susan N. Story,American Water Works Company,AWK,5/9/14,12/31/14
Gayla Delly,Benchmark Electronics,BHE,1/3/12,12/31/14
Elizabeth Smith,Bloomin' Brands,BLMN,8/9/12,12/31/14
Diane M. Sullivan,Brown Shoe Company,BWS,5/26/11,12/31/14
Sandra Cochran,Cracker Barrel Old Country Store,CBRL,9/12/11,12/31/14
Linda Massman,Clearwater Paper,CLW,1/2/13,12/31/14
Denise Morrison,Campbell Soup,CPB,8/1/11,12/31/14
Andrea Ayers,Convergys,CVG,10/2/12,12/31/14
Ellen Kullman,DuPont,DD,1/2/09,12/31/14
Sara Mathew,Dun & Bradstreet Inc.,DNB,1/2/10,10/7/13
Lynn Good,Duke Energy,DUK,7/1/13,12/31/14
Margaret Whitman,eBay,EBAY,1/1/98,3/1/08
Mary Agnes Wilderotter,Citizens Communications,FTR,11/1/04,12/31/14
Mary Agnes Wilderotter,Frontier Communications,FTR,1/3/06,12/31/14
Paula G. Rosput,AGL Resources Inc.,GAS,8/1/00,1/3/06
Gracia Martore,Gannett,GCI,10/6/11,12/31/14
Phebe Novakovic,General Dynamics,GD,1/2/13,12/31/14
S. Marce Fuller,Genon Energy,GEN,7/1/99,9/30/05
Mary Barra,GM,GM,1/15/14,12/31/14
Lauralee Martin,HCP,HCP,10/3/13,12/31/14
Constance H. Lau,Hawaiian Electric Industries Inc.,HE,5/2/06,12/31/14
Meg Whitman,HP,HPQ,9/22/11,12/31/14
Mindy F. Grossman,HSN,HSNI,8/20/08,12/31/14
Virgina Rometty,IBM,IBM,1/3/12,12/31/14
Patti S. Hart,International Game Technology,IGT,4/1/09,12/31/14
Ilene Gordon,Ingredion Inc,INGR,5/4/09,12/31/14
Denise Ramos,ITT,ITT,10/1/11,12/31/14
Linda A. Lang,Jack in the Box,JACK,10/3/05,1/2/14
Beth E. Mooney,KeyCorp,KEY,5/1/11,12/31/14
Marillyn Hewson,Lockheed Martin,LMT,1/2/13,12/31/14
Patricia Kampling,Alliant Energy,LNT,4/1/05,12/31/14
Irene Rosenfeld,Mondelez International,MDLZ,6/26/06,12/31/14
Heather Bresch,Mylan,MYL,1/3/12,12/31/14
Wellington J. Denahan-Norris,Annaly Capital Management,NLY,11/5/12,12/31/14
Janet L. Robinson,The New York Times Company,NYT,12/27/04,1/3/12
Cindy B. Taylor,Oil States International Inc.,OIS,5/1/07,12/31/14
Patricia Gallup,PC Connection,PCCC,9/3/02,8/8/11
Indra Nooyi,PepsiCo,PEP,10/1/06,12/31/14
Jane Elfers,Children's Place Retail Stores,PLCE,4/4/10,12/31/14
Patricia K. Vincent-Collawn,PNM Resources,PNM,3/1/10,12/31/14
Dona Davis Young,Phoenix Companies,PNX,1/2/03,4/15/09
Peggy Y. Fowler,Portland General Electric,POR,4/13/06,3/1/09
Pamela Kirby,Quintiles Transnational,Q,4/1/01,9/25/03
Mary Sammons,Rite Aid Corp,RAD,6/25/03,6/23/10
Susan Ivey,Reynolds American,RAI,6/26/05,2/1/11
Susan Cameron,Reynolds American,RAI,5/1/14,12/31/14
Mary Berner,Reader's Digest Association,RDA,11/10/10,4/25/11
Amy Miles,Regal Entertainment,RGC,6/30/09,1/21/14
Barbara Rentler,Ross Stores,ROST,6/1/14,12/31/14
Claire Babrowski,Radio Shack,RSH,2/1/06,7/5/06
Tamara L. Lundgren,Schnitzer Steel Industries,SCHN,12/1/08,12/31/14
Cinda Hallman,Spherion,SFN,4/1/01,4/1/04
Debra Reed,Sempra Energy,SRE,6/27/11,12/31/14
Lynn Laverty Elsenhans,Sunoco,SUN,8/8/08,3/1/12
Carol Meyrowitz,TJX Corp,TJX,1/28/07,12/31/14
Sheryl Palmer,Taylor Morrison Home,TMHC,4/20/13,12/31/14
Mary Dillon,Ulta Salon Cosmetics & Fragrance,ULTA,7/1/13,12/31/14
Kimberly Bowers,CST Brands,VLO,1/2/13,12/31/14
Debra Cafaro,Ventas,VTR,3/5/99,12/31/14
Kerrii B. Anderson,Wendy's International,WEN,11/9/06,9/2/08
Laura J. Alber,Williams-Sonoma,WSM,5/26/10,12/31/14
Christina Gold,Western Union Holdings,WU,10/2/06,9/1/10
Anne Mulcahy,Xerox Corp,XRX,8/1/01,7/1/09
Ursula Burns,Xerox Corp,XRX,7/1/09,12/31/14
Gretchen McClain,Xylem,XYL,10/22/11,9/9/13
Carol Bartz,Yahoo,YHOO,1/13/09,9/9/11
Marissa Mayer,Yahoo,YHOO,7/17/12,12/31/14
Mary Forte,Zale,ZLC,8/1/02,1/30/06
Mary Burton,Zale,ZLC,1/30/06,12/1/07
Carleton Fiorina,HP,HP,7/1/99,2/8/05
Paula Rosput Reynolds,Safeco,SAF,1/3/06,9/2/08
Stephanie Streeter,Banta,BN,10/1/02,1/3/07
Dorrit J Bern,Charming Shoppes,CHRS,2/4/02,7/9/08
